#id,#continue_on_failed,#messages_count,#execute,#fail_unexpected,#description,#service_name,#reference,#timeout,#action,#message_type,#check_point,OnBehalfOfCompID,DeliverToCompID,ApplVerID,ClOrdID,OrigClOrdID,OrderID,TradingParty,NoPartyIDs,PartyID,PartyIDSource,PartyRole,Account,SecurityID,SecurityIDSource,OrdType,TimeInForce,ExpireTime,ExpireDate,Side,OrderQty,DisplayQty,Price,AccountType,OrderCapacity,TransactTime,SecondaryClOrdID,ClOrdLinkID,ApplID,ExecInst,MassCancelRequestType,TargetParty,NoTargetPartyIDs,TargetPartyID,TargetPartyIDSource,TargetPartyRole,MarketSegmentID,ExecID,ExecType,TrdMatchID,ExecRefID,ExecRestatementReason,OrdStatus,WorkingIndicator,OrdRejReason,Text,LastQty,LastPx,ConvertedYield,Yield,LeavesQty,CumQty,TradeLiquidityIndicator,PreTradeAnonymity,AvgPx,CxlRejResponseTo,CxlRejReason,MassActionReportID,MassCancelResponse,MassCancelRejectReason,DisplayMethod,OrderBook,StopPx,OrderSource,LastParPx,ParPx,QuoteMsgID,QuoteID,BidPx,BidSize,OfferPx,OfferSize,QuotQualGrp,NoQuoteQualifiers,QuoteQualifier,QuoteCancelType,QuotCxlEntriesGrp,NoQuoteEntries,QuoteStatus,QuoteRejectReason,QuoteType,MESIndicator,PassiveOnlyOrder,PriceDifferential,TradeRequestID,TypeOfTrade,MDEntryID,TradeRequestType,MatchType,TrdType,SecAltIDGrp,NoSecurityAltID,SecurityAltID,SecurityAltIDSource,SecurityType,ProductComplex,TCRUnderlyingBIT,NoUnderlyings,UnderlyingSymbol,Issuer,ApplReqID,ApplReqType,ApplIDRequestGrp,ApplMesReqGrpBIT,NoApplIDs,RefApplID,ApplBegSeqNum,ApplEndSeqNum,ApplSeqNum,ApplLastSeqNum,ApplResendFlag,LastRptRequested,TradeReportID,TradeID,TradeLinkID,FirmTradeID,TradeReportRefID,TradeHandlingInstr,TradeReportType,ClearingType,NovatedIndicator,OriginalPrice,SettlCurrency,TradeReportTransType,MatchStatus,OrigTradeHandlingInstr,PriceType,SettlDate,MaturityDate,IssueDate,CurrentMarketPriceValueIndicator,NegotiatedTradeIndicator,ExceededTheMinimumSizeIndicator,RequestNotToPublishQuantityIndicator,DelayMode,IntendedPublishTime,VenueIdentificationCode,TCRSideGroupTRM,TCRSideGroupBIT,NoSides,SideExecID,TradingSessionSubID,OrderCategory,SideLiquidityInd,TradeRequestStatus,TradeRequestResult,TotNumTradeReports,ApplResponseID,RefApplLastSeqNum,ApplResponseError,TradePublishIndicator,TrdRptStatus,TradeReportRejectReason,TrdSubType,BusinessRejectRefID,BusinessRejectReason,#add_to_report,Neww,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id,#id
11,,,y,,,,group_NoPartyIDs_1,,,NoPartyIDs,,,,,,,,,,ICR57_FIX1,PROPRIETARY_CUSTOM_CODE,TRADER_GROUP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
12,,,y,,,,component_TradingParty2,,,TradingParty,,,,,,,,,[group_NoPartyIDs_2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
13,,,y,,Trader2 sends Sell Limit order (Order6),PTOTBDFIX2,ord6,,FIX_SendNewOrderSingle,quickfix.fix50.NewOrderSingle,,,,,#{ClOrdID()},,,[TradingParty_Trader2],,,,,MTA1_Sell1,100101,8,LIMIT,DAY,,,SELL,1000,500,0,1,A,new Date(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
14,,,y,,Trader2 sends Sell Limit order (Order6),PTOTBDFIX2,ord6,,FIX_WaitExecutionReport,quickfix.fix50.NewOrderSingle,,,,,#{ClOrdID()},,,[TradingParty_Trader2],,,,,MTA1_Sell1,${ord6},8,LIMIT,DAY,,,${ord6},1000,${ord6},10,1,A,new Date(),,,,,,,,,,,,,NEW,,,,NEW,,,,,,,,,${ord6},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
15,,,y,,,,group_NoSides1,,,NoSides,,,,,,,,[component_TradingParty1],,,,,,,,,,,,BUY,,,,3,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
16,,,y,,,,component_TrdCapRptSideGrp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[group_NoSides1,group_NoSides2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
17,,,y,,,OFB_PT1,ob1,,FIX_SendTradeCaptureReport,quickfix.fix50.TradeCaptureReport,,,,,,,,,,,,,,6781761,8,,,,,,,,,,,"#{TransactTime(""Y+0:m+0:D+0:h=11:M=10:s=11"")}",,,,,,,,,,,,,,,,,,,,,2000,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OFF_BOOK_TRADE,,,,,,,,,,,,,,,,,,,,,,,,,,Olya,,1,0,,,,,0,,,,20121027,,,,,,,,,,,[component_TrdCapRptSideGrp],2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
18,,,y,,Ack,OFB_PT1,ack1,5000,FIX_WaitTradeCaptureReportAck,quickfix.fix50.TradeCaptureReportAck,check1,,,,,,,,,,,,,6781761,8,,,,,,,,,,,${ob1:TransactTime},,,,,,,,,,,,,,,,,,,,,${ob1:LastQty},${ob1:LastPx},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,${ob1:FirmTradeID},,1,${ob1:TradeReportType},,,,,${ob1:TradeReportTransType},1,,,,,,,,,,,,,,,${ob1:NoSides},,,,,,,,,,,${ob1:TradePublishIndicator},REJECTED,7014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
19,,,y,, TCR sent to PT user of PostTrade,OFB_PT1,tcr1,10000,FIX_WaitTradeCaptureReport,quickfix.fix50.TradeCaptureReport,check1,,,,,,,,,,,,,6781761,8,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,${ob1:LastQty},${ob1:LastPx},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,${ob1:TrdType},[component_SecAltIDGrp1],,,,IT,MFD,,,,,,,,,,,,,,,N,,,,,${ob1:FirmTradeID},,0,0,1,0,,,2,0,1,2,20121027,,,,,,,,,,,[component_TrdCapRptSideGrp2],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"META|||1984|||TagShort|||74:NoSecurityAltID^73:SecurityAltIDSource^72:SecurityAltID^71:OrderCategory^70:NoPartyIDs^69:NoQuoteEntries^68:NoTargetPartyIDs^67:PartyRole^66:PartyIDSource^65:PartyID^64:TargetPartyRole^63:TargetPartyIDSource^62:TargetPartyID^61:tag name^60:SecAltIDGrp^59:SecurityType^58:ApplResendFlag^57:ProductComplex^56:OrigTradeHandlingInstr^55:PriceType^54:ClearingType^53:NovatedIndicator^52:MatchType^51:TCRSideGroupBIT^50:SettlDate^49:TradeID^48:FirmTradeID^47:NoSides^46:TradePublishIndicator^45:LastPx^44:LastQty^43:TrdType^42:MatchStatus^41:TradeReportRejectReason^40:TradeHandlingInstr^39:TrdRptStatus^38:TradeReportType^37:TradeReportTransType^36:TargetParty^35:MassCancelRequestType^34:#id^33:Text^32:OrdRejReason^31:OnBehalfOfCompID^30:PreTradeAnonymity^29:OrderID^28:LeavesQty^27:OrdStatus^26:ExecType^25:ExecID^24:#check_point^23:#timeout^22:#add_to_report^21:CumQty^20:Account^19:TransactTime^18:OrderCapacity^17:AccountType^16:TimeInForce^15:SecurityIDSource^14:SecurityID^13:DisplayQty^12:OrderQty^11:Side^10:OrdType^9:TradingParty^8:ClOrdID^7:#message_type^6:#reference^5:#service_name^4:#description^3:#execute^2:Price^1:#action^0:#id|||XYTM|||0:4:8^ExecutionReport^1:2:8^NewOrder^2:1:2^Start^3:1:2^End^4:1:0^MassCancel^5:1:2^GetCheckPoint^6:3:5^WaitTCRAck^7:2:5^SendTCR^8:4:4^WaitTCR^9:1:1^QuoteEntries^10:1:0^TargetParty^11:1:4^PartyIDs^12:1:0^[TargetParty]^13:1:5^[QuoteEntries]^14:1:5^[TradingParty]^15:1:4^NoSides^16:1:1^SecAlt^17:1:4^[NoSides]^18:1:1^[SecAlt]|||XYClients|||0:0:0:1:1:17:1::0:0::^0:1:0:12:1:6:0::0:0::^0:2:1:4:1:2:1::0:0::^0:3:0:1:4:0:0::0:0::4^0:4:0:11:1:5:2::0:0::^0:5:0:5:1:1:0::0:0::^0:6:0:4:1:1:1::0:1::8^0:7:0:1:1:18:0::0:0::^0:8:1:3:1:25:0::0:0::^0:9:1:8:1:32:0::0:0:3:^0:10:1:4:1:10:1::0:0::^0:11:1:2:1:0:0::0:0::^0:12:1:4:1:6:1::0:0::^0:13:1:4:1:6:0::0:0::^0:14:1:4:1:2:0::0:0::^0:15:1:1:1:24:0::0:0::^0:16:1:4:1:10:0::0:0::^0:17:1:1:1:14:1::0:0::^0:18:1:1:1:14:0::0:0::^0:19:1:3:1:25:1::0:0::^0:20:1:6:1:18:1::0:0::^0:21:1:4:1:10:2::0:0::^0:22:0:1:1:18:1::0:0::^0:23:0:3:1:19:0::0:0::^0:24:0:3:1:19:1::0:0::^0:25:1:4:1:28:0::0:0::^0:26:1:3:1:15:1::0:0::^0:27:1:3:1:15:0::0:0::^0:28:1:4:1:6:2::0:0::^0:29:1:4:1:28:1::0:0::^0:30:1:1:1:24:1::0:0::^0:31:1:6:1:18:2::0:0::^0:32:1:8:1:24:3::0:0::^0:33:1:24:1:0:3::0:0::^1:34:0:1:1:17:1::0:0::^1:1:0:12:1:6:0::0:0::^1:2:1:4:1:2:1::0:0::^1:3:0:1:2:0:0::0:0::3^1:4:0:12:1:5:1::0:0::^1:5:0:5:1:1:0::0:0::^1:6:0:4:1:1:1::0:1::8^1:7:0:1:1:18:0::0:0::^1:8:1:3:1:25:0::0:0::^1:9:1:8:1:32:0::0:0:3:^1:10:1:4:1:10:1::0:0::^1:11:1:2:1:0:0::0:0::^1:12:1:4:1:6:1::0:0::^1:13:1:4:1:6:0::0:0::^1:14:1:4:1:2:0::0:0::^1:15:1:1:1:24:0::0:0::^1:16:1:4:1:10:0::0:0::^1:17:1:1:1:14:1::0:0::^1:18:1:1:1:14:0::0:0::^1:19:1:3:1:25:1::0:0::^1:20:1:6:1:18:1::0:0::^1:22:0:1:1:18:1::0:0::^1:30:1:1:1:28:1::0:0::^2:4:1:30:1:0:0::0:0::2^2:6:0:4:1:6:0::0:0::^2:1:0:6:1:0:0::0:0::2^2:34:0:1:1:10:0::0:0::^3:34:0:1:1:10:0::0:0::^3:1:0:6:1:0:0::0:0::^4:34:0:1:1:26:0::0:0::^4:3:0:1:1:0:0::0:0::^4:4:0:6:1:20:0::0:0::^4:22:0:1:1:8:0::0:0::^4:5:0:4:1:1:0::0:0::^4:6:0:3:1:5:0::0:0::^4:1:0:9:1:9:0::0:0::^4:7:0:1:1:18:0::0:0::^4:8:1:3:1:25:0::0:0::^4:35:1:4:1:6:0:2:0:0::^4:19:1:3:1:28:0::0:0::^4:15:1:1:1:24:0::0:0::^4:14:1:4:1:2:0::0:0::^4:36:1:9:1:31:0::0:0:0:^5:34:0:1:1:17:0::0:0::^5:3:0:1:1:0:0::0:0::^5:4:1:10:1:0:0::0:0::^5:22:0:1:1:8:0::0:0::^5:5:0:4:1:1:0::0:0::^5:6:0:3:1:5:0::0:0::^5:1:0:6:1:9:0::0:0::^6:3:0:1:1:0:1::0:0::^6:4:1:4:1:0:0::0:0::^6:5:1:4:1:4:0::0:0::4^6:6:0:3:1:0:0::0:0::3^6:23:1:4:1:16:0::0:0::^6:1:0:10:1:3:0::0:0::^6:7:1:4:1:24:0::0:0::^6:24:1:4:1:28:0::0:0::^6:37:1:4:1:32:0::0:0::^6:38:1:4:1:36:0::0:0::^6:39:1:4:1:0:1::0:0::^6:40:1:4:1:12:0::0:0::^6:41:1:4:1:4:1::0:0::4^6:42:1:4:1:12:1::0:0::^6:43:1:4:1:12:2::0:0::^6:44:1:4:1:20:0::0:0::^6:45:1:4:1:20:1::0:0::^6:46:1:4:1:28:1::0:0::^6:47:1:1:1:16:1::0:0::4^6:48:1:4:1:36:1::0:0::^6:19:1:4:1:0:2::0:0::^6:15:1:4:1:8:0::0:0::^6:14:1:4:1:4:2::0:0::4^6:34:0:1:1:1:1:1:0:0::^6:49:1:4:1:24:2::0:0::^6:50:1:4:1:28:2::0:0::^7:3:0:1:1:0:1::0:0::^7:4:1:4:1:12:0::0:0::^7:5:1:4:1:8:1::0:0::^7:6:0:3:1:0:0::0:0::3^7:1:0:10:1:3:0::0:0::^7:7:1:4:1:17:1::0:0::^7:37:1:4:1:24:0::0:0::^7:38:1:4:1:28:0::0:0::^7:40:1:4:1:32:0::0:0::^7:43:1:4:1:36:0::0:0::^7:44:1:4:1:0:1::0:0::4^7:45:1:4:1:4:1::0:0::^7:50:1:4:1:0:0::0:0::4^7:46:1:4:1:12:1::0:0::^7:47:1:1:1:16:1::0:0::^7:51:1:7:1:17:0::0:1:4:4^7:48:1:4:1:24:1::0:0::^7:19:1:4:1:28:1::0:0::^7:15:1:4:1:32:1::0:0::^7:14:1:4:1:36:1::0:0::^7:34:0:1:1:1:1:1:0:0::^8:3:0:1:1:0:1::0:0::^8:4:1:4:1:4:0::0:0::^8:5:1:4:1:8:0::0:0::4^8:6:0:3:1:0:0::0:0::3^8:23:1:4:1:16:0::0:0::^8:1:0:11:1:3:0::0:0::^8:7:1:4:1:24:0::0:0::^8:24:1:4:1:28:0::0:0::^8:37:1:4:1:32:0::0:0::4^8:38:1:4:1:36:0::0:0::4^8:40:1:4:1:0:1::0:0::^8:52:1:4:1:4:1::0:0::^8:42:1:4:1:8:1::0:0::4^8:43:1:4:1:12:1::0:0::^8:44:1:4:1:16:1::0:0::^8:45:1:4:1:20:1::0:0::^8:50:1:4:1:24:1::0:0::^8:53:1:4:1:28:1::0:0::^8:47:1:4:1:32:1::0:0::^8:51:1:6:1:18:3::0:1:4:^8:48:1:4:1:0:2::0:0::^8:26:1:4:1:8:3::0:0::4^8:54:1:4:1:8:2::0:0::4^8:55:1:4:1:12:2::0:0::^8:56:1:4:1:16:2::0:0::^8:57:1:4:1:20:2::0:0::^8:58:1:4:1:24:2::0:0::^8:59:1:4:1:28:2::0:0::^8:15:1:4:1:32:2::0:0::^8:60:1:8:1:24:3::0:1:1:^8:14:1:4:1:0:3::0:0::^8:34:0:1:1:1:1:1:0:0::^8:61:0:4:1:8:2::0:0::^9:34:0:1:1:1:0:1:0:0::^9:3:0:1:1:0:0::0:0::^9:6:0:10:1:2:0::0:0::^9:7:0:7:1:13:0::0:0::^9:14:1:4:1:3:0::0:0::^9:15:1:6:1:18:0:2:0:0::^10:34:0:1:1:1:0::0:0::^10:3:0:1:1:0:0::0:0::^10:6:1:12:1:11:0::0:0::0^10:7:0:8:1:13:0::0:0::^10:62:1:6:1:24:0::0:0::^10:63:1:4:1:36:0::0:0::^10:64:1:6:1:30:0::0:0::^11:34:0:1:1:1:0:1:0:0::^11:3:0:1:1:0:0::0:0::^11:6:1:12:1:11:0::0:0::3^11:7:0:5:1:13:0::0:0::^11:65:1:6:1:24:0::0:0::^11:66:1:4:1:36:0::0:0::^11:67:1:6:1:30:0:2:0:0::^12:34:0:1:1:1:0::0:0::^12:3:0:1:1:0:0::0:0::^12:6:1:11:1:0:0::0:0::0^12:7:0:10:1:13:0::0:0::^12:68:1:12:1:11:0::0:0::^13:34:0:1:1:1:0:1:0:0::^13:3:0:1:1:0:0::0:0::^13:6:0:10:1:2:0::0:0::^13:7:0:4:1:13:0::0:0::^13:69:1:12:1:18:0::0:0::^14:34:0:1:1:1:0:1:0:0::^14:3:0:1:1:0:0::0:0::^14:6:1:11:1:0:0::0:0::3^14:7:0:4:1:13:0::0:0::^14:70:1:12:1:11:0::0:0::^15:3:0:1:1:0:0::0:0::^15:6:1:12:1:11:0::0:0::4^15:7:0:4:1:13:0::0:0::^15:11:1:2:1:35:0::0:0::^15:9:1:9:1:26:0::0:1:3:^15:17:1:1:1:37:0::0:0::^15:18:1:1:1:38:0::0:0::^15:71:1:1:1:39:0::0:0::^15:34:0:1:1:17:0::0:0::^16:3:0:1:1:0:0::0:0::^16:6:1:12:1:11:0::0:0::1^16:7:0:4:1:2:0::0:0::^16:72:1:4:1:36:0::0:0::^16:73:1:4:1:32:0:2:0:0::^16:34:0:1:1:1:0:1:0:0::^17:34:0:1:1:17:0::0:0::^17:3:0:1:1:0:0::0:0::^17:6:1:11:1:0:0::0:0::4^17:47:1:12:1:11:0::0:0::^18:34:0:1:1:1:0:1:0:0::^18:3:0:1:1:0:0::0:0::^18:6:1:11:1:0:0::0:0::1^18:74:1:12:1:11:0::0:0::|||XYLineHead|||0:40:13^1:40:19^2:20:64|||Rules|||0^#action=EACH^1^#message_type=EACH^2^NoSides=ANY^3^NoSecurityAltID=ANY|||RulesW|||0:FIX_WaitExecutionReport:0^0:FIX_SendNewOrderSingle:1^0:test case start:2^0:test case end:3^0:FIX_SendOrderMassCancelRequest:4^0:GetCheckPoint:5^0:FIX_WaitTradeCaptureReportAck:6^0:FIX_SendTradeCaptureReport:7^0:FIX_WaitTradeCaptureReport:8^1:NoQuoteEntries:9^1:NoTargetPartyIDs:10^1:NoPartyIDs:11^1:TargetParty:12^1:QuotCxlEntriesGrp:13^1:TradingParty:14^1:NoSides:15^1:NoSecurityAltID:16^2:[group_NoSides1,group_NoSides2]:17^3:[group_NoSecurityAltID_1]:18|||GRules||||||GRulesW||||||GValues||||||LocalStyles|||6==|||Links|||"
